molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL369768,COc1ccc(/C=C/C(=O)c2ccc3c(c2O)C=CC(C)(C)O3)cc1,IC50,'=',74710.0,nM,4.13,CHEMBL4321436
CHEMBL347749,CC#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],IC50,'=',76800.0,nM,4.12,CHEMBL644118
CHEMBL4109726,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3[C@@H](C1)C2,IC50,'=',2930.0,nM,5.53,CHEMBL3887855
CHEMBL1377579,N#CC(c1ccc(O)cc1)N1CCCCC1,IC50,'=',93000.0,nM,4.03,CHEMBL3242019
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,IC50,'=',1100.0,nM,5.96,CHEMBL3242019
CHEMBL445130,Clc1ccc2c(c1)N=C1CCCCCN1C2,IC50,'=',158.0,nM,6.8,CHEMBL644110
CHEMBL3890758,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3C(F)(F)F)CC1)C2,IC50,'=',4870.0,nM,5.31,CHEMBL3870531
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,IC50,'=',3800.0,nM,5.42,CHEMBL4342661
CHEMBL1424,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,IC50,'=',9000.0,nM,5.05,CHEMBL2404670
CHEMBL3234591,N/C(=N\O)c1nc(CCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1O,IC50,'=',260.0,nM,6.58,CHEMBL3242185
CHEMBL1079905,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,IC50,'=',6400.0,nM,5.19,CHEMBL2404670
CHEMBL61986,CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2,IC50,'=',467.74,nM,6.33,CHEMBL638445
CHEMBL164660,O=c1ccc2cc3ccoc3cc2o1,IC50,'=',6480.0,nM,5.19,CHEMBL2406149
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',6.0,nM,8.22,CHEMBL3875277
