canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccccc1)CCCC3,76329623,374.5,4.2,65.2,1,4,1
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(C)cc1)CCCC3,76307987,378.5,4.3,74.4,1,5,4
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCCCC3,76333319,438.5,4.4,92.9,1,7,6
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCCC3,76329646,408.5,4.4,83.7,1,6,5
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccco1)CCCC3,76307984,354.4,3.0,87.6,1,6,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCCC3,76318775,389.5,5.3,78.1,1,5,4
CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C(F)(F)F)Cc1ccccc1C(F)(F)F,10985959,801.0,9.3,40.6,0,8,27
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCCC3,76318775,389.5,5.3,78.1,1,5,4
CN(C)Cc1ccc(CSCCNc2cc(NN)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,5747382,410.5,3.0,183.0,3,10,9
N#Cc1ccc2[nH]cc(CCC(=O)NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,11409935,528.1,6.5,93.6,3,4,11
COc1ccc(/N=C/c2cn(-c3ccc(OC)cc3)cc2/C=N/c2ccc(OC)cc2)cc1,2777804,439.5,4.8,57.3,0,5,8
CN(C)c1ccc(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)cc1,255296,363.4,2.5,90.2,3,6,2
COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,6884840,366.5,2.5,57.2,1,5,7
